,0,1,2,3,4,5,6,7,8,9
Jamaica Inn (1939),Jamaica Inn (1939),"Bank Dick, The (1940)",Cavalcade (1933),Young and Innocent (1937),Romance (1999),"Hanging Garden, The (1997)",Only Angels Have Wings (1939),Normal Life (1996),"Paradine Case, The (1947)",Stalker (1979)
Young and Innocent (1937),Jamaica Inn (1939),"Bank Dick, The (1940)",Cavalcade (1933),Young and Innocent (1937),Romance (1999),"Hanging Garden, The (1997)",Only Angels Have Wings (1939),Normal Life (1996),"Paradine Case, The (1947)",Stalker (1979)
"Hanging Garden, The (1997)","Hanging Garden, The (1997)","Bank Dick, The (1940)",Cavalcade (1933),Young and Innocent (1937),Jamaica Inn (1939),Get Bruce (1999),Romance (1999),Only Angels Have Wings (1939),"Rapture, The (1991)",Normal Life (1996)
Only Angels Have Wings (1939),Only Angels Have Wings (1939),Monsieur Verdoux (1947),"Circus, The (1928)","Band Wagon, The (1953)","Bank Dick, The (1940)",Jamaica Inn (1939),Young and Innocent (1937),Cavalcade (1933),"Farmer's Wife, The (1928)",Room at the Top (1959)
"Story of G.I. Joe, The (1945)","Story of G.I. Joe, The (1945)",Lady of Burlesque (1943),"Man from Down Under, The (1943)",Pot O' Gold (1941),"Mummy's Hand, The (1940)","Paradine Case, The (1947)",Penitentiary II (1982),"Asphalt Jungle, The (1950)",T-Men (1947),Blood on the Sun (1945)
I Confess (1953),I Confess (1953),Stage Fright (1950),"Lodger, The (1926)",Sabotage (1936),"Circus, The (1928)",Mrs. Miniver (1942),Rope (1948),Rich and Strange (1932),Family Plot (1976),Suspicion (1941)
Room at the Top (1959),Room at the Top (1959),"Man with the Golden Arm, The (1955)",Faces (1968),Monsieur Verdoux (1947),Only Angels Have Wings (1939),Golden Earrings (1947),"Man from Down Under, The (1943)",Pot O' Gold (1941),"Paradine Case, The (1947)",Force of Evil (1948)
Cavalcade (1933),Jamaica Inn (1939),"Bank Dick, The (1940)",Cavalcade (1933),Young and Innocent (1937),Romance (1999),"Hanging Garden, The (1997)",Only Angels Have Wings (1939),Normal Life (1996),"Paradine Case, The (1947)",Stalker (1979)
"Greatest Show on Earth, The (1952)","Greatest Show on Earth, The (1952)",Giant (1956),"Stars Fell on Henrietta, The (1995)",Blackbeard's Ghost (1968),I'll Be Home For Christmas (1998),Joe the King (1999),Beyond the Poseidon Adventure (1979),Candleshoe (1977),Illuminata (1998),"Old Man and the Sea, The (1958)"
"Bank Dick, The (1940)",Jamaica Inn (1939),"Bank Dick, The (1940)",Cavalcade (1933),Young and Innocent (1937),Romance (1999),"Hanging Garden, The (1997)",Only Angels Have Wings (1939),Normal Life (1996),"Paradine Case, The (1947)",Stalker (1979)
Bliss (1997),Bliss (1997),Carried Away (1996),Lucie Aubrac (1997),Hav Plenty (1997),Seven Chances (1925),Ed (1996),Jimmy Hollywood (1994),Pather Panchali (1955),Artemisia (1997),"Rich Man's Wife, The (1996)"
Otello (1986),Otello (1986),Loaded (1994),Jefferson in Paris (1995),Denise Calls Up (1995),"Taming of the Shrew, The (1967)",Under Suspicion (2000),Lady and the Tramp (1955),"Allnighter, The (1987)",Bossa Nova (1999),Beyond Rangoon (1995)
Destiny Turns on the Radio (1995),Destiny Turns on the Radio (1995),"Hitch-Hiker, The (1953)",Deterrence (1998),Snow Day (2000),Kronos (1973),Hideaway (1995),Kronos (1957),"Phantom of the Opera, The (1943)","Big Kahuna, The (2000)",Supernova (2000)
My Boyfriend's Back (1993),My Boyfriend's Back (1993),Safe Men (1998),Sour Grapes (1998),"Suburbans, The (1999)",Underworld (1997),"Niagara, Niagara (1997)",Cobra (1925),We're No Angels (1989),For Love or Money (1993),Larger Than Life (1996)
Life with Mikey (1993),Life with Mikey (1993),For Love or Money (1993),Larger Than Life (1996),House Party 2 (1991),House Arrest (1996),Mad Dog Time (1996),"Niagara, Niagara (1997)",Before and After (1996),It Takes Two (1995),Nothing But Trouble (1991)
Mina Tannenbaum (1994),Mina Tannenbaum (1994),Heaven (1998),Brenda Starr (1989),Santa with Muscles (1996),Surf Nazis Must Die (1987),Angel Baby (1995),Trust (1990),I'm the One That I Want (2000),Cabin Boy (1994),Street Fighter (1994)
Santa with Muscles (1996),Brenda Starr (1989),Santa with Muscles (1996),Digimon: The Movie (2000),Screwed (2000),Mina Tannenbaum (1994),Carnosaur 3: Primal Species (1996),Steel (1997),Gone Fishin' (1997),Sesame Street Presents Follow That Bird (1985),Class of Nuke 'Em High (1986)
Brenda Starr (1989),Brenda Starr (1989),Santa with Muscles (1996),Digimon: The Movie (2000),Screwed (2000),Mina Tannenbaum (1994),Carnosaur 3: Primal Species (1996),Steel (1997),Gone Fishin' (1997),Sesame Street Presents Follow That Bird (1985),Class of Nuke 'Em High (1986)
"Scarlet Letter, The (1995)","Scarlet Letter, The (1995)",Indecent Proposal (1993),Best of the Best 3: No Turning Back (1995),"Juror, The (1996)",Holy Man (1998),Flipper (1996),Father of the Bride Part II (1995),City Slickers II: The Legend of Curly's Gold (1994),My Giant (1998),Lucie Aubrac (1997)
Big Bully (1996),Big Bully (1996),Screwed (2000),Carpool (1996),Jury Duty (1995),High School High (1996),"Stupids, The (1996)",Dirty Work (1998),Bulletproof (1996),Beverly Hills Ninja (1997),Holy Man (1998)
Why Do Fools Fall In Love? (1998),Why Do Fools Fall In Love? (1998),Beyond Silence (1996),Solas (1999),Last Dance (1996),Belizaire the Cajun (1986),Born American (1986),Music From Another Room (1998),Feast of July (1995),Relative Fear (1994),"Journey of August King, The (1995)"
Being Human (1993),Being Human (1993),Dangerous Ground (1997),Music From Another Room (1998),"Suburbans, The (1999)",Underworld (1997),Relative Fear (1994),Feast of July (1995),"Journey of August King, The (1995)",Sour Grapes (1998),Born American (1986)
Under Suspicion (2000),Under Suspicion (2000),In Search of the Castaways (1962),Deterrence (1998),Denise Calls Up (1995),Bossa Nova (1999),Wild Man Blues (1998),Two Family House (2000),Tom & Viv (1994),Duets (2000),Agnes Browne (1999)
"Killer Shrews, The (1959)","Killer Shrews, The (1959)",Golden Earrings (1947),Bikini Beach (1964),Voyage to the Bottom of the Sea (1961),Devil Girl From Mars (1954),Faces (1968),Tales of Terror (1962),"Giant Gila Monster, The (1959)","Emerald Forest, The (1985)","Adventures of Pinocchio, The (1996)"
Faces (1968),Faces (1968),Golden Earrings (1947),Force of Evil (1948),Battling Butler (1926),Room at the Top (1959),Only Angels Have Wings (1939),Monsieur Verdoux (1947),"They Shoot Horses, Don't They? (1969)",Bikini Beach (1964),Voyage to the Bottom of the Sea (1961)
Mr. Jealousy (1997),Mr. Jealousy (1997),Love Serenade (1996),"Pompatus of Love, The (1996)",Reckless (1995),Widows' Peak (1994),Miami Rhapsody (1995),Grace of My Heart (1996),Highlander: Endgame (2000),She's So Lovely (1997),"Decline of Western Civilization Part II: The Metal Years, The (1988)"
Silent Fall (1994),Silent Fall (1994),Rough Night in Jericho (1967),Penitentiary II (1982),"Tomb of Ligeia, The (1965)","Good Mother, The (1988)",Music From Another Room (1998),"Journey of August King, The (1995)",Last Dance (1996),Belizaire the Cajun (1986),Born American (1986)
Lawn Dogs (1997),Lawn Dogs (1997),Just the Ticket (1999),Pandora and the Flying Dutchman (1951),Caught (1996),Lulu on the Bridge (1998),Threesome (1994),"King and I, The (1999)",Mike's Murder (1984),"Sheltering Sky, The (1990)","War Zone, The (1999)"
Just the Ticket (1999),Just the Ticket (1999),Lawn Dogs (1997),"King and I, The (1999)",Party Girl (1995),Roustabout (1964),"Next Best Thing, The (2000)",Hanging Up (2000),Fled (1996),"Inkwell, The (1994)",Joe's Apartment (1996)
Zeus and Roxanne (1997),Zeus and Roxanne (1997),Fluke (1995),I'll Be Home For Christmas (1998),Country (1984),Andre (1994),D2: The Mighty Ducks (1994),Bogus (1996),"NeverEnding Story II: The Next Chapter, The (1990)",Roustabout (1964),Sister Act 2: Back in the Habit (1993)
Light It Up (1999),Light It Up (1999),B*A*P*S (1997),Man of the House (1995),Gumby: The Movie (1995),Eddie (1996),It Takes Two (1995),"Rich Man's Wife, The (1996)",Isn't She Great? (2000),Up at the Villa (2000),D2: The Mighty Ducks (1994)
Jimmy Hollywood (1994),Jimmy Hollywood (1994),Music From Another Room (1998),Feast of July (1995),Relative Fear (1994),"Journey of August King, The (1995)",Born American (1986),Belizaire the Cajun (1986),Last Dance (1996),"Rich Man's Wife, The (1996)",Molly (1999)
It Takes Two (1995),It Takes Two (1995),Lost & Found (1999),Gang Related (1997),Three to Tango (1999),For Richer or Poorer (1997),Kissing a Fool (1998),"Big Green, The (1995)",B*A*P*S (1997),Life with Mikey (1993),"Evening Star, The (1996)"
Up at the Villa (2000),Up at the Villa (2000),Whipped (2000),Where the Money Is (2000),B*A*P*S (1997),Man of the House (1995),I Dreamed of Africa (2000),Gumby: The Movie (1995),Screwed (2000),Light It Up (1999),Eddie (1996)
"Man from Down Under, The (1943)",Pot O' Gold (1941),"Man from Down Under, The (1943)",T-Men (1947),Blood on the Sun (1945),"Story of G.I. Joe, The (1945)","Paradine Case, The (1947)",Dark Command (1940),Limelight (1952),Lady of Burlesque (1943),Under Capricorn (1949)
Dark Command (1940),Dark Command (1940),In Old California (1942),Saludos Amigos (1943),Fun and Fancy Free (1947),Pot O' Gold (1941),"Man from Down Under, The (1943)",Beat the Devil (1954),"Hideous Sun Demon, The (1959)","Murder, My Sweet (1944)","Outlaw, The (1943)"
Pot O' Gold (1941),Pot O' Gold (1941),"Man from Down Under, The (1943)",T-Men (1947),Blood on the Sun (1945),"Story of G.I. Joe, The (1945)","Paradine Case, The (1947)",Dark Command (1940),Limelight (1952),Lady of Burlesque (1943),Under Capricorn (1949)
T-Men (1947),T-Men (1947),"Man from Down Under, The (1943)",Pot O' Gold (1941),Blood on the Sun (1945),Cyclo (1995),He Walked by Night (1948),"Story of G.I. Joe, The (1945)","Inkwell, The (1994)","Paradine Case, The (1947)",All the Vermeers in New York (1990)
"Perils of Pauline, The (1947)","Perils of Pauline, The (1947)",Last Summer in the Hamptons (1995),"Wife, The (1995)",Hard Core Logo (1996),Splendor (1999),Careful (1992),Funny Bones (1995),I Went Down (1997),Better Than Chocolate (1999),"Palm Beach Story, The (1942)"
With Byrd at the South Pole (1930),With Byrd at the South Pole (1930),Village of the Damned (1995),Children of the Damned (1963),Them! (1954),Nineteen Eighty-Four (1984),Barbarella (1968),"20,000 Leagues Under the Sea (1954)","Thing From Another World, The (1951)",King Kong (1976),Alien: Resurrection (1997)
Head On (1998),Head On (1998),"Golden Bowl, The (2000)","Dark Half, The (1993)",Gigi (1958),American Pop (1981),Restoration (1995),Clockers (1995),Fresh (1994),"Daytrippers, The (1996)",Mortal Thoughts (1991)
"Abominable Snowman, The (1957)","Abominable Snowman, The (1957)",American Flyers (1985),All the King's Men (1949),Airport '77 (1977),Anatomy of a Murder (1959),...And Justice for All (1979),And the Band Played On (1993),Air America (1990),American Gigolo (1980),"Amityville Horror, The (1979)"
Bushwhacked (1995),Bushwhacked (1995),Gang Related (1997),"Very Thought of You, The (1998)",Deceiver (1997),"Baby-Sitters Club, The (1995)",House Party 2 (1991),Hear My Song (1991),I'll Do Anything (1994),"Bye Bye, Love (1995)",It's My Party (1995)
"Reluctant Debutante, The (1958)","Reluctant Debutante, The (1958)","Last Time I Saw Paris, The (1954)",Mrs. Dalloway (1997),Jefferson in Paris (1995),Cimarron (1931),"Glass Bottom Boat, The (1966)",Daddy Long Legs (1919),Kansas City (1996),"Killing of Sister George, The (1968)",Moonlight and Valentino (1995)
"Last Time I Saw Paris, The (1954)","Reluctant Debutante, The (1958)","Last Time I Saw Paris, The (1954)",Mrs. Dalloway (1997),Jefferson in Paris (1995),Cimarron (1931),"Glass Bottom Boat, The (1966)",Daddy Long Legs (1919),Kansas City (1996),"Killing of Sister George, The (1968)",Moonlight and Valentino (1995)
"Big Country, The (1958)","Big Country, The (1958)",Cimarron (1931),"Outlaw, The (1943)","Ape, The (1940)",Alvarez Kelly (1966),Silent Fall (1994),"Searchers, The (1956)",Penitentiary II (1982),Saludos Amigos (1943),Buck and the Preacher (1972)
"Glass Shield, The (1994)","Glass Shield, The (1994)",Loaded (1994),For the Love of Benji (1977),What Ever Happened to Baby Jane? (1962),Meet Wally Sparks (1997),No Way Out (1987),Private School (1983),Herbie Goes to Monte Carlo (1977),Rebecca (1940),White Man's Burden (1995)
"Cement Garden, The (1993)","Cement Garden, The (1993)",Hav Plenty (1997),Lucie Aubrac (1997),Carried Away (1996),Ripe (1996),Love Jones (1997),Rosetta (1999),Boys (1996),Bliss (1997),"Yards, The (1999)"
Love Jones (1997),Love Jones (1997),It's My Party (1995),Carried Away (1996),Lucie Aubrac (1997),Hav Plenty (1997),Ripe (1996),"Cement Garden, The (1993)",Jason's Lyric (1994),Best Laid Plans (1999),Trick (1999)
Shadrach (1998),Shadrach (1998),Lulu on the Bridge (1998),Jack and Sarah (1995),Pandora and the Flying Dutchman (1951),Caught (1996),"Sheltering Sky, The (1990)",Michael Collins (1996),Jefferson in Paris (1995),Lucie Aubrac (1997),Native Son (1986)
Lucie Aubrac (1997),Lucie Aubrac (1997),Carried Away (1996),Hav Plenty (1997),Ripe (1996),"Cement Garden, The (1993)",Love Jones (1997),Rosetta (1999),Bliss (1997),"Yards, The (1999)",One Night Stand (1997)
Passion in the Desert (1998),Passion in the Desert (1998),Hav Plenty (1997),Lucie Aubrac (1997),Carried Away (1996),Ripe (1996),"Cement Garden, The (1993)","They Shoot Horses, Don't They? (1969)","Gods Must Be Crazy II, The (1989)",Evita (1996),Love Jones (1997)
Carried Away (1996),Lucie Aubrac (1997),Carried Away (1996),Hav Plenty (1997),Ripe (1996),"Cement Garden, The (1993)",Love Jones (1997),Rosetta (1999),Bliss (1997),"Yards, The (1999)",One Night Stand (1997)
Hav Plenty (1997),Lucie Aubrac (1997),Carried Away (1996),Hav Plenty (1997),Ripe (1996),"Cement Garden, The (1993)",Love Jones (1997),Rosetta (1999),Bliss (1997),"Yards, The (1999)",One Night Stand (1997)
Incognito (1997),Incognito (1997),Penitentiary II (1982),"Truth or Consequences, N.M. (1997)","Tomb of Ligeia, The (1965)",Silent Fall (1994),Shattered Image (1998),Surf Nazis Must Die (1987),Kim (1950),Flesh and Bone (1993),Body Shots (1999)
"Allnighter, The (1987)","Allnighter, The (1987)",Nadine (1987),Secret Agent (1936),"Crew, The (2000)",Color of Night (1994),"Rich Man's Wife, The (1996)",Volunteers (1985),Our Town (1940),How I Won the War (1967),Flesh and Bone (1993)
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)","Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",Jack and Sarah (1995),Shattered Image (1998),On the Beach (1959),"Wedding Gift, The (1994)",Penitentiary II (1982),Dangerous Game (1993),My Life So Far (1999),Lulu on the Bridge (1998),Of Human Bondage (1934)
Pushing Hands (1992),Pushing Hands (1992),Picture Bride (1995),Even Cowgirls Get the Blues (1993),"House of the Spirits, The (1993)",Eat Drink Man Woman (1994),Mr. Jones (1993),Squanto: A Warrior's Tale (1994),Shooting Fish (1997),"Twelve Chairs, The (1970)",Bonfire of the Vanities (1990)
Pandora and the Flying Dutchman (1951),Pandora and the Flying Dutchman (1951),Caught (1996),Lawn Dogs (1997),Lulu on the Bridge (1998),Mike's Murder (1984),"Sheltering Sky, The (1990)","War Zone, The (1999)","Bedroom Window, The (1987)",Shadrach (1998),"Spiral Staircase, The (1946)"
Lulu on the Bridge (1998),Lulu on the Bridge (1998),Jack and Sarah (1995),Pandora and the Flying Dutchman (1951),Caught (1996),Shadrach (1998),Lawn Dogs (1997),Mediterraneo (1991),Love & Sex (2000),"Wedding Gift, The (1994)",Barenaked in America (1999)
Unhook the Stars (1996),Unhook the Stars (1996),Live Flesh (1997),Beautiful People (1999),"Long Goodbye, The (1973)",Normal Life (1996),"Filth and the Fury, The (2000)",Blood Feast (1963),"Toxic Avenger, The (1985)",Welcome to the Dollhouse (1995),Party Girl (1995)
Hugo Pool (1997),Hugo Pool (1997),Mad Dog Time (1996),Hotel de Love (1996),Boiling Point (1993),Life with Mikey (1993),"Pompatus of Love, The (1996)",Touch (1997),Beyond the Poseidon Adventure (1979),When Night Is Falling (1995),"Charlie, the Lonesome Cougar (1967)"
Adrenalin: Fear the Rush (1996),Adrenalin: Fear the Rush (1996),Lost Highway (1997),"Lady Vanishes, The (1938)",Breaking the Waves (1996),Spellbound (1945),Suspicion (1941),Laura (1944),eXistenZ (1999),Universal Soldier: The Return (1999),Anatomy of a Murder (1959)
"City, The (1998)","City, The (1998)","Grass Harp, The (1995)","Alarmist, The (1997)",Native Son (1986),Touch (1997),Trust (1990),Night Falls on Manhattan (1997),Steal This Movie! (2000),Beautiful People (1999),Jimmy Hollywood (1994)
"Snows of Kilimanjaro, The (1952)","Snows of Kilimanjaro, The (1952)",I Saw What You Did (1965),Barry Lyndon (1975),Tom Jones (1963),Vanya on 42nd Street (1994),"Great Dictator, The (1940)",Modern Times (1936),"Apartment, The (1960)",Indochine (1992),Cat Ballou (1965)
Taste of Cherry (1997),Taste of Cherry (1997),Jeffrey (1995),Bandit Queen (1994),"Candidate, The (1972)",Here on Earth (2000),Date with an Angel (1987),"Winslow Boy, The (1998)",Metropolitan (1990),"Wings of the Dove, The (1997)",Herbie Goes Bananas (1980)
Gang Related (1997),Gang Related (1997),Bushwhacked (1995),"Very Thought of You, The (1998)",Deceiver (1997),"Baby-Sitters Club, The (1995)",House Party 2 (1991),It's My Party (1995),Without Limits (1998),It Takes Two (1995),Head Above Water (1996)
